Date,Subject,Course,Lesson,Time,Points,Possible,Complete
2018-09-10,Mathematics,Singapore Math 2B/3A,"TB pp. 95-96, WB pp. 146-148",30,,,
2018-09-10,Language Arts,Spelling Power,Daily Words/Drills or Writing,15,,,
2018-09-10,Language Arts,Language Lessons... L4,Lesson 16,15,,,
2018-09-10,Reading,Read Aloud,Mom's Choice,30,,,
2018-09-10,Reading,Silent Reading Time,Book of Choice,30,,,
2018-09-10,Physical Education,Physical Education,Go Noodle/Outside,30,,,
2018-09-10,Classical Conversations,CC Presentations,Perform Presentation,15,,,
2018-09-10,Classical Conversations,CC Memory Work,W2,30,,,
2018-09-10,Classical Conversations,Daily Focus,Math,60,,,
2018-09-10,Mathematics,Game Time,Math Game,30,,,
2018-09-10,Life Skills,Morning Routine/Chores,Daily Chores,30,,,
2018-09-10,Language Arts,Handwriting,pp. 40-41,15,,,
2018-09-10,Language Arts,Typing/Spanish,Spanish Lesson,30,,,
2018-09-10,Fine Arts,Piano Lessons,Practice Piano,15,,,
2018-09-11,Classical Conversations,CC Science,Some parts of an animal cell,,,,
2018-09-11,Classical Conversations,CC Math,5s and 6s,,,,
2018-09-11,Classical Conversations,CC Art/Music,Upside-Down Image,,,,
2018-09-11,Physical Education,Physical Education,Go Noodle/Outside,30,,,
2018-09-11,Classical Conversations,CC History,Greek and Roman gods,,,,
2018-09-11,Classical Conversations,CC Geography,Hebrew Empire,,,,
2018-09-11,Classical Conversations,CC Latin,1st Declension Noun Endings,,,,
2018-09-11,Classical Conversations,CC English,Prepositions along-atop,,,,
2018-09-11,Classical Conversations,Daily Focus,Community Day Week 3,180,,,
2018-09-11,Life Skills,Morning Routine/Chores,Daily Chores,30,,,
2018-09-11,Classical Conversations,CC Timeline,Hinduism in India-Israel's United Kingdom,,,,
2018-09-12,Mathematics,Singapore Math 2B/3A,"TB pp. 97-99, WB pp. 149-151",30,,,
2018-09-12,Language Arts,Spelling Power,Daily Words/Dictionary,15,,,
2018-09-12,Language Arts,Language Lessons... L4,Lesson 17,15,,,
2018-09-12,Reading,Read Aloud,Mom's Choice,30,,,
2018-09-12,Reading,Silent Reading Time,Book of Choice,30,,,
2018-09-12,Physical Education,Physical Education,Go Noodle/Outside,30,,,
2018-09-12,Classical Conversations,CC Presentations,Pick Presentation,15,,,
2018-09-12,Classical Conversations,CC Memory Work,"W3, W2",30,,,
2018-09-12,Classical Conversations,Daily Focus,History,60,,,
2018-09-12,Mathematics,Game Time,Kid Pick,30,,,
2018-09-12,Life Skills,Morning Routine/Chores,Daily Chores,30,,,
2018-09-12,Language Arts,Handwriting,pp. 42-43,15,,,
2018-09-12,Language Arts,Typing/Spanish,Typing Lesson,30,,,
2018-09-12,Fine Arts,Piano Lessons,Piano Lessons,30,,,
2018-09-13,Mathematics,Singapore Math 2B/3A,TB pp. 100-101 (Review H),30,,,
2018-09-13,Language Arts,Spelling Power,Daily Words/Homonymns,15,,,
2018-09-13,Language Arts,Language Lessons... L4,Lesson 18,15,,,
2018-09-13,Reading,Read Aloud,Mom's Choice,30,,,
2018-09-13,Reading,Silent Reading Time,Book of Choice,30,,,
2018-09-13,Physical Education,Physical Education,Go Noodle/Outside,30,,,
2018-09-13,Classical Conversations,CC Presentations,Practice Presentation,15,,,
2018-09-13,Classical Conversations,CC Memory Work,"W3, W1",30,,,
2018-09-13,Classical Conversations,Daily Focus,Science,60,,,
2018-09-13,Mathematics,Game Time,Flashcard Drills,30,,,
2018-09-13,Life Skills,Morning Routine/Chores,Daily Chores,30,,,
2018-09-13,Language Arts,Handwriting,pp. 44-47,15,,,
2018-09-13,Language Arts,Handwriting,Parent Needed,,,,
2018-09-13,Language Arts,Typing/Spanish,Spanish Lesson,30,,,
2018-09-13,Fine Arts,Piano Lessons,Practice Piano,15,,,
2018-09-14,Mathematics,Singapore Math 2B/3A,WB pp. 152-155 (Review 6),30,,,
2018-09-14,Language Arts,Spelling Power,Daily Words/Skill Build,15,,,
2018-09-14,Language Arts,Language Lessons... L4,Lesson 19,15,,,
2018-09-14,Reading,Read Aloud,Mom's Choice,30,,,
2018-09-14,Reading,Silent Reading Time,Book of Choice,30,,,
2018-09-14,Physical Education,Physical Education,Go Noodle/Outside,30,,,
2018-09-14,Classical Conversations,CC Presentations,Practice Presentation,15,,,
2018-09-14,Classical Conversations,CC Memory Work,"W3, W2",30,,,
2018-09-14,Classical Conversations,Daily Focus,English,60,,,
2018-09-14,Life Skills,Morning Routine/Chores,Daily Chores,30,,,
2018-09-14,Language Arts,Handwriting,pp. 48-52,15,,,
2018-09-14,Language Arts,Handwriting,Parent Needed,,,,
2018-09-14,Language Arts,Typing/Spanish,Typing Lesson,30,,,
2018-09-14,Fine Arts,Piano Lessons,Practice Piano,15,,,
2018-09-14,Fine Arts,Art Lessons,Art Lessons,30,,,
